Original	Free w/o position	Free w/ position	Controlled w/o position	Controlled w/ position
But competing with the conception of the other person's thoughts is the child's own knowledge of the location of the coin.	"But competing with the other person's mental map is the child's own knowledge of the coin's location."	But competing with the mental map of the other person 's thoughts is the child 's own knowledge of the location of the coin .	But speaking against the conception of the other person's thoughts is the child's own knowledge of the location of the coin.	But speaking against the conception of the other person 's thoughts is the child 's own knowledge of the location of the coin .
Centuries of tradition have portrayed dragons as fire-breathing, flying serpents.	"Centuries of tradition have sculpted dragons as fire-breathing, flying serpents."	Centuries have sculpted of tradition have portrayed dragons as fire breathing , flying serpents .	Centuries of tradition have used dragons as fire breathing, flying serpents.	Centuries have used of tradition have portrayed dragons as fire breathing , flying serpents .
He had none of the equipment of a detective, neither being particularly observant nor having any great insight into the psychology of small boys.	"He lacked the detective's toolkit, neither being particularly observant nor having any great insight into the psychology of small boys."	He had none of the detective toolkit of a detective , neither being particularly observant nor having any great insight into the psychology of small boys .	He had none of the operating system of a detective, neither being particularly observant nor having any great insight into the psychology of small boys.	He had none of the operating system of a detective , neither being particularly observant nor having any great insight into the psychology of small boys .
Iran's biological warfare program began during the Iran-Iraq war.	"Iran's biological warfare engine started during the Iran-Iraq war."	Iran 's biological warfare program the engine started during the Iran - Iraq war .	Iran's biological warfare program travelled during the Iran - Iraq war.	Iran 's biological warfare program travelled during the Iran - Iraq war .
His brief tenure of power in Java in the early 19th century saw more reform than the centuries of Dutch oppression.	"His brief reign of power in Java in the early 19th century carved more reform than the centuries of Dutch oppression."	His brief tenure of power in Java in the early 19th century saw more reform than the carving of Dutch oppression .	His brief residence of power in Java in the early 19th century saw more reform than the centuries of Dutch oppression.	His brief residence of power in Java in the early 19th century saw more reform than the centuries of Dutch oppression .
While outlining big plans, Chan is equally enthusiastic about rectifying small situations that have long nettled residents.	"While charting grand plans, Chan is equally passionate about smoothing out the small bumps that have long irritated residents."	While outlining big plans , Chan is equally enthusiastic about rectifying small situations that have long irritated.	While outlining big plans, Chan is equally fervent about rectifying small situations that have long nettled residents.	While outlining big plans , Chan is equally fervent about rectifying small situations that have long nettled residents .
She glanced over one shoulder.	"She cast a glance over one shoulder."	She cast a glance over one shoulder .	She travelled a glance over one shoulder.	She travelled a glance over one shoulder .
Magda was lost in a poem which was 'as independent and unintelligible as reality itself.'	"Magda was lost in a poem that was as a separate, cryptic world."	Magda was lost in a poem which was ` as a separate world and unintelligible as reality itself .	Magda was lost in a poem which was ` as a separate person and unintelligible as reality itself.	Magda was lost in a poem which was ` as a separate person and unintelligible as reality itself .
The Prime Minister dare not present a clear picture, because such a picture would annoy some group or other in the Tory party.	"The Prime Minister dare not project a clear vision, because such a vision would ignite a firestorm within the Tory party."	The Prime Minister dare not present a clear picture , because such a picture would ignite some group or other in the Tory party .	The Prime Minister dare not present a clear picture, because such a picture would inflame some group or other in the Tory party.	The Prime Minister dare not present a clear picture , because such a picture would inflame some group or other in the Tory party .
AUSTRIA, once expected to waltz smoothly into the European Union, is elbowing its partners, treading on toes, and pogo-dancing in a most un-Viennese manner.	"AUSTRIA, once expected to glide smoothly into the European Union, is now bumping its partners, stepping on toes, and jumping in a most un-Viennese manner."	AUSTRIA , Once expected to waltz smoothly into the European Union , is elbowing its partners , treading on toes and jumping in a most un-Viennese manner .	AUSTRIA, Once expected to flow smoothly into the European Union, is elbowing its partners, treading on toes and pogo-dancing in a most un-Viennese manner.	AUSTRIA , Once expected to flow smoothly into the European Union , is elbowing its partners , treading on toes and flowing in a most un-Viennese manner .
Because of this, Blanc expresses a real empathy with the average cook at home.	"Because of this, Blanc shares a genuine warmth with the average home cook."	Because of this , Blanc expresses a real warmth with the average cook at home .	Because of this, Blanc expresses a real warmth with the average cook at home.	Because of this , Blanc expresses a real warmth with the average cook at home .
Republican leader Bill Frist said the Senate was hijacked.	"Republican leader Bill Frist said the Senate was held hostage."	Republican leader Bill Frist said the Senate was held hostage.	Republican leader Bill Frist said the Senate was infected.	Republican leader Bill Frist said the Senate was infected.
The reports of the fratricidal strife among the security forces indicated a threatening polarisation in the country as the regime dug in, while a burgeoning opposition gained in confidence.	"The reports of the internal war among the security forces indicated a threatening split in the country as the regime built its fortress, while a growing opposition gained momentum."	The reports of the fratricidal internal war among the security forces indicated a threatening polarisation in the country as the regime dug in , while a burgeoning opposition gained in confidence .	The reports of the fratricidal strife among the security forces indicated a threatening polarisation in the country as the regime went down, while a burgeoning opposition gained in confidence.	along a path The reports of the fratricidal travelling among the security forces indicated a threatening polarisation in the country as the regime dug in , while a burgeoning opposition gained in confidence .
The Bogeyman was awake.	"The Bogeyman's mental lights flickered on."	The Bogeyman was mental lights flickered on.	The Bogeyman was elevated.	The Bogeyman was elevated.
She could hardly believe what he was telling her.	"Her mind struggled to process his words."	She could hardly process the words what he was telling her .	She could hardly consume what he was telling her.	She could hardly consume what he was telling her .
Mrs. Lirriper married here, CS 16.	"Mrs. Lirriper's life journey merged with another here, CS 16."	Mrs Lirriper life journey merged here , CS 16 .	Mrs Lirriper’s life travelled here, CS 16.	Mrs Lirriper’s life travelled here, CS 16.
Contralto, eyes rolling, ears flat, skittishly began to mince past them.	"Contralto, eyes spinning, ears flattened, nervously began to tiptoe past them."	Contralto , eyes rolling , ears flat , skittishly began to tiptoe past them .	Contralto, eyes rolling, ears flat, skittishly established a mince past them.	Contralto, eyes rolling, ears flat, skittishly established a mince past them.
Land birds are constantly visiting the ship and the pretty Stormy Petrels are our constant companions while the ocean itself contains an abundance to amuse and gratify one.	"Land birds are constant visitors to the ship, and the pretty Stormy Petrels are our ever-present companions, while the ocean itself contains a wealth of wonders to entertain and delight."	Land birds are constantly visiting the ship and the pretty Stormy Petrels are our constant companions while the ocean itself contains an abundance to amuse and delight.	Land birds are constantly visiting the ship and the pretty Stormy Petrels are our constant companions while the ocean itself contains an abundance to ignite and gratify one.	Land birds are constantly visiting the ship and the pretty Stormy Petrels are our constant companions while the ocean itself contains an abundance to ignite and gratify one .
I knew I could count on you,' she cooed.	" 'I knew I could send my message through you,' she purred."	"` I knew I could send my message on you , "" she cooed . "	"` I knew I could send my message on you, "" she cooed."	"` I knew I could send my message on you, "" she cooed."
The stranger was flabbergasted.	"The stranger was struck dumb."	The stranger was struck dumb.	The stranger was ignited.	The stranger was ignited.
Those incomers with whom I discussed class agreed that awareness of class is a typically British trait.	"Those newcomers with whom I discussed class agreed that awareness of class is a uniquely British mental construct."	Those incomers with whom I discussed class agreed that awareness of class is a typically British mental construct.	Those incomers with whom I discussed class agreed that awareness of class is a typically British person.	Those incomers with whom I discussed class agreed that awareness of class is a typically British person.
L'heureux jaloux has a 'jealousy' air and lengthy recitative with modulations only to flat keys (movements 7-8) in F minor, which transforms a lover's tiff into a miniature tragedy.	"L'heureux jaloux has a 'jealousy' air and lengthy recitative with modulations only to flat keys (movements 7-8) in F minor, which transforms a lover's disagreement into a miniature battle."	"L'heureux jaloux has a ` jealousy "" air and lengthy recitative with modulations only to flat keys ( movements 7-8 ) in F minor , which transforms a lover 's tiff into a miniature battle . "	"L'heureux jaloux has a ` jealousy "" air and lengthy recitative with modulations only to flat keys (movements 7-8) in F minor, which transforms a lover's skirmish into a miniature tragedy."	"L'heureux jaloux has a ` jealousy "" air and lengthy recitative with modulations only to flat keys (movements 7-8) in F minor, which transforms a lover's skirmish into a miniature tragedy."
As I rise to speak to the House on this important matter, I am conscious that it is a complex and difficult subject.	"As I rise to illuminate this important matter for the House, I am aware that it is a complex and difficult mental landscape."	As I rise to speak to the House on this important matter , I am aware of the mental landscape that it is a complex and difficult subject .	As I rise to consume the House on this important matter, I am conscious that it is a complex and difficult subject.	Cognizing Eating As I rise to consume the House on this important matter, I am conscious that it is a complex and difficult subject .
Officials observed that Washington's allies have expressed particular outrage at the latest pattern of Iraqi defiance and would probably back a limited U.S. military move against Iraq.	"Officials observed that Washington's allies have expressed particular waves of outrage at the latest pattern of Iraqi defiance and would likely back a limited U.S. military advance against Iraq."	Officials observed that Washington 's allies have expressed particular waves at the latest pattern of Iraqi defiance and would probably back a limited U. S. military move against Iraq .	Officials observed that Washington's allies have expressed particular lowness at the latest pattern of Iraqi defiance and would probably back a limited U.S. military move against Iraq.	Officials observed that Washington's allies have expressed particular lowness at the latest pattern of Iraqi defiance and would probably back a limited U.S. military move against Iraq.
We have undertaken corporate studies that show that women are more closely aligned generally with the networked, more ethical, and responsible business.	"We have undertaken corporate studies that reveal women are more closely aligned generally with the interwoven, more ethical, and responsible business fabric."	"We have undertaken corporate studies that show that women are more closely aligned generally with the networked , more interwoven and responsible business ."	We have undertaken corporate studies that show that women are more closely aligned generally with the networked, more pure and responsible business.	We have undertaken corporate studies that show that women are more closely aligned generally with the networked , more pure and responsible business .
The Venetians fortified their main towns — Naxos Town and Antiparos Town are wonderful examples of this — creating labyrinths of narrow alleys and cul-de-sacs that were designed to confuse and to demoralize invaders.	"The Venetians fortified their main towns -- Naxos Town and Antiparos Town are wonderful examples of this -- creating mazes of narrow alleys and dead ends designed to trap and demoralize invaders."	The Venetians fortified their main towns -- Naxos Town and Antiparos Town are wonderful examples of this -- creating mazes of narrow alleys and cul-de-sacs that were designed to confuse and to demoralize invaders .	The Venetians fortified their main towns -- Naxos Town and Antiparos Town are wonderful examples of this -- creating labyrinths of narrow alleys and cul-de-sacs that were designed to confuse and to demoralize invaders.	The Venetians vehicled their main towns -- Naxos Town and Antiparos Town are wonderful examples of this -- creating labyrinths of narrow alleys and cul-de-sacs that were designed to confuse and to demoralize invaders .
There is almost a tinge of predestination in footballers' reflections on how they came to sport in the first place.	"There's almost a thread of destiny woven into footballers' reflections on how they first entered the sport."	There is almost a tinge of predestination in footballers ' reflections on how they the thread is woven to sport in the first place .	There is almost a tinge of predestination in footballers' reflections on how they consumed sport in the first place.	There is almost a tinge of predestination in footballers ' reflections on how they consumed sport in the first place .
Meanwhile, IXI is also in the process of setting up a European operation, which is being headed by Steven Sampson as general manager.	"Meanwhile, IXI is also in the process of building a European command post, which is being led by Steven Sampson as general manager."	Meanwhile , IXI is also in the process of setting up a European operation , which is being command post by Steven Sampson as general manager .	Meanwhile, IXI is also in the process of setting up a European operation, which is being a person as general manager.	Meanwhile , IXI is also in the process of setting up a European operation , which is being a person by Steven Sampson as general manager .
Goodwill has devised the programs that turned your investment into results.	"Goodwill has designed the engines that converted your investment into results."	Goodwill has devised the programs that engines converted your investment into results .	Goodwill has forced the programs that turned your investment into results.	Goodwill has forced the programs that turned your investment into results .
The Mason reached over and snatched the purse, emptying about half of the contents into his own hand.	"The Mason reached over and looted the purse, sifting about half of the contents into his own hand."	The Mason reached over and looted the purse , emptying about half of the contents into his own hand .	The Mason reached over and pounced on the purse, emptying about half of the contents into his own hand.	The Mason reached over and pounced the purse , emptying about half of the contents into his own hand .
When he re-emerged, he was cradling an explosive projectile rifle similar to the one which was being trained on them by Kubitsky.	"When he re-emerged, he was cradling a destructive projectile rifle, a weapon similar to the one Kubitsky was aiming at them."	When he re-emerged he was cradling an explosive projectile rifle similar to the one which was being trained on them by Kubitsky . weapon aimed.	When he re-emerged he was cradling an explosive projectile rifle similar to the one which was being trained on them by a hurricane.	When he re-emerged he was cradling an explosive projectile rifle similar to the one which was being trained on them by a hurricane.
Sir John had then stamped off, muttering curses about public officials who didn't seem to care.	"Sir John then stormed off, spewing curses about public officials who seemed to lack any care."	Sir John had then stamped off , muttering curses about public officials who spewing words.	Sir John had then directed off, muttering curses about public officials who didn't seem to care.	Sir John had then directed off , muttering curses about public officials who did n't seem to care .
The magistrate denied bond and said an extradition hearing will be held in about 60 days.	"The magistrate blocked bail and said an extradition hearing would be staged in about 60 days."	The magistrate blocked bond and said an extradition hearing will be held in about 60 days .	The magistrate directed the denial of bond and said an extradition hearing will be held in about 60 days.	The magistrate directed the denial of bond and said an extradition hearing will be held in about 60 days .
TV REPORTER Michael Nicholson told last night how he smuggled a nine-year-old girl out of war-torn Yugoslavia and took her home to his family.	"TV REPORTER Michael Nicholson told last night how he smuggled a nine-year-old girl out of war-torn Yugoslavia, stealing her away to his family's safety."	TV REPORTER Michael Nicholson told last night how he stole away a nine-year-old girl out of war-torn Yugoslavia and took her home to his family .	TV REPORTER Michael Nicholson told last night how he hunted a nine-year-old girl out of war-torn Yugoslavia and took her home to his family.	TV REPORTER Michael Nicholson told last night how he hunted a nine-year-old girl out of war-torn Yugoslavia and took her home to his family .
And if they've got it, I'll nick it.	"And if they possess it, I'll seize it."	And if they 've got it , I 'll seize.	And if they've got it, I'll animal it.	And if they 've got it , I 'll animal it .
I sat with Andy while he ranted on.	"I sat with Andy while he unleashed a torrent of words."	I sat with Andy while he unleashed words.	I sat with Andy while he directed on.	I sat with Andy while he directed on .
Lydia watched Betty ushering the guests into the cottage.	"Lydia watched Betty guide the guests into the cottage."	Lydia watched Betty guide the guests into the cottage .	Lydia watched Betty drive the guests into the cottage.	Lydia watched Betty drive the guests into the cottage .
He tugged harder, but it was caught fast.	"He strained harder, but it was firmly anchored."	He strained, harder , but it was caught fast .	He directed harder, but it was caught fast.	He directed harder , but it was caught fast .
The boss of Salomon Inc, John Gutfreund, also took a pay cut, down to $2.26m, reflecting the investment bank's 36% drop in net income.	"The head of Salomon Inc., John Gutfreund, also received a smaller slice of the pie, down to $2.26m, reflecting the investment bank's 36% plunge in net income."	The slice of the pie of Salomon Inc , John Gutfreund , also took a pay cut , down to $2.26m , reflecting the investment bank 's 36% drop in net income .	The vehicle of Salomon Inc, John Gutfreund, also took a pay cut, down to $2.26m, reflecting the investment bank's 36% drop in net income.	The vehicle of Salomon Inc , John Gutfreund , also took a pay cut , down to $2.26m , reflecting the investment bank 's 36% drop in net income .
He saw the Emperor in person every third day.	"He visited the Emperor's court every third day."	He saw the emperor's court every third day .	He shepherded the Emperor in person every third day.	He shepherded the Emperor in person every third day .
EQUIPMENT: Orc Arrer Boyz carry a hand weapon and bow.	"EQUIPMENT: Orc Arrer Boyz wield a hand weapon and bow."	EQUIPMENT : Orc Arrer Boyz carry a hand weapon and wield.	EQUIPMENT: Orc Arrer Boyz carry a hand weapon and a swarm.	EQUIPMENT : Orc Arrer Boyz carry a hand weapon and a swarm.
But we haven't had a response from the County Council.	"But we haven't received any signals from the County Council."	But we have n't had a signals from the County Council .	But we haven't had a direction from the County Council.	But we have n't had a direction from the County Council .
Sheldukher levelled his laser pistol at Bernice.	"Sheldukher aimed his laser pistol's beam at Bernice."	Sheldukher levelled his laser pistol at Bernice . aimed the beam.	Sheldukher infected his laser pistol at Bernice.	Disease Sheldukher infected his laser pistol at Bernice .
This collaboration should involve both their teachers and their peers.	"This collaboration should weave together their teachers and their peers."	This collaboration should weave together both their teachers and their peers .	This collaboration should guide both their teachers and their peers.	This collaboration should guide both their teachers and their peers .
The discovery of his idol's feet of clay proves intolerable to the lonely, emotionally stunted fan.	"The shattering of his idol's pedestal proves unbearable to the lonely, emotionally stunted fan."	The shattering of the pedestal of his idol 's feet of clay proves intolerable to the lonely , emotionally stunted fan .	The discovery of his idol's feet of clay proves intolerable to the lonely, emotionally stunted fan that lacked nourishing food.	The lack of nutrition of his idol 's feet of clay proves intolerable to the lonely , emotionally stunted fan .
It is administered by the authorities on Taiwan.	"It is steered by the authorities on Taiwan."	It is steered by the authorities on Taiwan .	It is driven by the authorities on Taiwan.	It is driven by the authorities on Taiwan .
What made the case stand out was the motivation for Otto's pilfering.	"What made the case stand out was the fuel driving Otto's petty theft."	What made the case stand out was the fuel driving for Otto 's pilfering .	What made the case stand out was the motivation for Otto's animalistic pilfering.	What made the case stand out was the motivation for Otto 's animalistic pilfering .
In April, a Kuwaiti airliner was hijacked and flown to North East Iran.	"In April, a Kuwaiti airliner was hijacked and flown to North East Iran, taken hostage in the sky."	In April a Kuwaiti airliner was taken hostage in the sky and flown to North East Iran .	In April a Kuwaiti airliner was hunted and flown to North East Iran.	In April a Kuwaiti airliner was hunted and flown to North East Iran .
Now they were once more a conspiracy of two.	"Now they were once again a secret alliance of two."	Now they were once more a conspiracy of secret alliance.	Now they were once more a guided conspiracy of two.	Now they were once more a guided conspiracy of two .
The jail's acting governor says an inquiry is underway.	"The jail's acting captain says an inquiry is underway."	The jail 's acting captain says an inquiry is underway .	The jail's acting governor is steering an inquiry underway.	The jail 's acting governor is steering an inquiry is underway .
Now she was listening to their kidnapper.	"Now she was held captive by their kidnapper's words."	Now she was listening to their captor's words.	Now she was listening to their animal kidnapper.	Now she was listening to their animal kidnapper .
Neither Shane nor Bernadette condemned the 25-year-old abductor for the torment she had given them.	"Neither Shane nor Bernadette absolved the 25-year-old tormentor of the pain she had inflicted."	Neither Shane nor Bernadette condemned the 25-year-old abductor for the inflicted pain.	Neither Shane nor Bernadette condemned the 25-year-old animal abductor for the torment she had given them.	Neither Shane nor Bernadette condemned the 25-year-old animal abductor for the torment she had given them .
Goodwill helps people get off of public assistance.	"Goodwill helps people break free from public assistance."	Goodwill helps people break free of public assistance .	Goodwill guides people get off of public assistance.	Goodwill guides people get off of public assistance .
Julie Murchison stood on the platform of Berkeley railway station and gazed around.	"Julie Murchison stood on the stage of Berkeley railway station and scanned the audience."	Julie Murchison stood on the platform of Berkeley railway station and scanned.	Julie Murchison directed her gaze on the platform of Berkeley railway station and gazed around.	Julie Murchison stood on the platform of Berkeley railway station and directed her gaze around.
This city is ruled by fear.'	"This city is gripped by fear's iron fist."	` This city is gripped by fear's iron fist.	"This city is steered by fear."	` This city is steered by fear .
A hand seized him by the hair and yanked his head back.	"A hand grabbed his hair and jerked his head back, pulling him backwards."	A hand grabbed him by the hair and yanked his head back .	A hand directed him by the hair and yanked his head back.	A hand directed him by the hair and yanked his head back .
Measures taken by the authorities against the itinerant traders led to a crisis in the city government, as a result of which the Socialist mayor, Giorgio Morales, was forced to resign.	"Actions taken by the city's rulers against the itinerant traders sparked a crisis within the city government, forcing the Socialist mayor, Giorgio Morales, to resign."	Measures taken by the authorities against the itinerant traders led to a crisis in the city government, as a result of which the Socialist mayor, Giorgio Morales, was forced to step down.	Measures taken by the authorities against the itinerant traders led to a crisis in the city government, as a result of which the vehicle of the Socialist mayor, Giorgio Morales, was forced to resign.	Vehicular motion Measures taken by the authorities against the itinerant traders led to a crisis in the city government , as a result of which the Socialist mayor , Giorgio Morales , was forced to vehicularly resign .
Oh, dig that crazy sax!' she shrilled.	"Oh, feel that wild sax!' she shouted."	"`Oh feel that wild sax!' she shouted."	"`Oh direct that crazy sax!' she shrilled."	"` Oh direct that crazy sax ! "" she shrilled . "
I should be glad to be able to say afterwards that I had solved it without your help.'	"I should be glad to say afterwards that I had untangled it without your aid."	"I should be glad to be able to say afterwards that I had untangled it without your help."	"I should be glad to be able to say afterwards that I had guided it to a solution without your help."	"I should be glad to be able to say afterwards that I had guided it to a solution without your help . """
He stepped forward, drawing the pistol.	"He stepped forward, unholstering the pistol."	He stepped forward, unholstering the pistol.	He flowed forward, drawing the pistol.	He flowed forward , drawing the pistol .
Your mother is telephoning the doctor.	"Your mother is sending a message to the doctor."	Your mother is sending a message the doctor.	Your mother is directing a telephone call to the doctor.	Your mother is directing a telephone call to the doctor .
For all its historic grandeur, the loyal Senate now is the equivalent of a city council, its statesmanship dedicated to water supplies, sewage lines, and the establishment of playgrounds.	"For all its historic grandeur, the loyal Senate is now the equivalent of a city council, its leadership dedicated to water supplies, sewage lines, and the creation of playgrounds."	For all its historic grandeur, the loyal Senate now is the equivalent of a city council, its leadership dedicated to water supplies, sewage lines, and the establishment of playgrounds.	For all its historic grandeur, the loyal Senate now is the equivalent of a city council, its shepherding dedicated to water supplies, sewage lines, and the establishment of playgrounds.	For all its historic grandeur , the loyal Senate now is the equivalent of a city council , its shepherding dedicated to water supplies , sewage lines , and the establishment of playgrounds .
IRAN: NBC WEAPONS AND MISSILE PROGRAMS.	"IRAN: NBC WEAPONS AND MISSILE PROGRAMS."	IRAN: NBC MISSILE ARMS.	IRAN: NBC MISSILE INFECTIONS.	IRAN : NBC MISSILE INFECTIONS.
There have been quite a few calls from readers…	"There have been quite a few messages from readers..."	“There have been quite a few messages from readers…”	“There have been quite a few directed calls from readers…”	“ There have been quite a few directed calls from readers …
Later, 2,000 Croatian soldiers with anti-tank weapons moved in around Nova Gradiska, at the other, eastern end of the 27-kilometer (16-mile) strip of highway going through Serb-held territory, she said.	"Later, 2,000 Croatian soldiers, armed with anti-tank weapons, advanced around Nova Gradiska, at the other, eastern edge of the 27-kilometer (16-mile) strip of highway crossing Serb-held territory," she stated.	Later, 2,000 Croatian soldiers with anti-tank weapons moved in around Nova Gradiska, at the other, eastern end of the 27-kilometer (16-mile) strip of highway going through Serb-held territory, she said. armed with heavy weapons.	Later, 2,000 Croatian soldiers with anti-tank weapons magically moved in around Nova Gradiska, at the other, eastern end of the 27-kilometer (16-mile) strip of highway going through Serb-held territory, she said.	Later , 2,000 Croatian soldiers with anti-tank weapons magically moved in around Nova Gradiska , at the other , eastern end of the 27-kilometer ( 16-mile ) strip of highway going through Serb-held territory , she said .
She told me that he just had time to wrap a small gift of appreciation.	"She told me that he just had time to wrap a small token of gratitude."	She told me that he just had time to offer a small gift of appreciation.	She told me that he just had time to direct a small gift of appreciation.	She told me that he just had time to direct a small gift of appreciation .
Wear your city brogues with bare feet and people will think you mugged someone for them.	"Wear your city brogues with bare feet, and people will assume you robbed someone for them."	Wear your city brogues with bare feet and people will think you stole someone for them.	Wear your city brogues with bare feet and people will think you animalistically mugged someone for them.	Wear your city brogues with bare feet and people will think you animalistically mugged someone for them .
