Original	Free w/o position	Free w/ position	Controlled w/o position	Controlled w/ position
Magda was lost in a poem which was 'as independent and unintelligible as reality itself.'	Magda was adrift in a poem that was "as boundless and inscrutable as the ocean of reality itself."	Magda was lost in a poem which was "as independent and vast as reality itself."	Magda was lost in a poem which was "as independent and full of life as reality itself."	Magda was lost in a poem which was "as independent and inaccessible as reality itself."
The Prime Minister dare not present a clear picture, because such a picture would annoy some group or other in the Tory party.	The Prime Minister dare not lift the veil, because such clarity would enrage some faction or other in the Tory party.	The Prime Minister dare not present a clear picture, because such a picture would ignite some group or other in the Tory party.	The Prime Minister dare not present a clear picture, because such a picture would inflame some group or other in the Tory party.	The Prime Minister dare not present a clear picture, because such a picture would ignite some group or other in the Tory party.
AUSTRIA, once expected to waltz smoothly into the European Union, is elbowing its partners, treading on toes, and pogo-dancing in a most un-Viennese manner.	Austria, once expected to waltz smoothly into the European Union, is now trampling its partners, stepping on toes, and breakdancing in a most un-Viennese manner.	AUSTRIA, once expected to waltz smoothly into the European Union, is elbowing its partners, treading on toes, and stumbling in a most un-Viennese manner.	AUSTRIA, once expected to waltz smoothly into the European Union, is pushing forward, elbowing its partners, treading on toes, and pogo-dancing in a most un-Viennese manner.	AUSTRIA, once expected to waltz smoothly into the European Union, is elbowing its partners, treading on toes, and pogo-dancing in a most un-Viennese manner.
Because of this, Blanc expresses a real empathy with the average cook at home.	Because of this, Blanc radiates a warm embrace of empathy for the average cook at home.	Because of this, Blanc expresses a real warmth with the average cook at home.	Because of this, Blanc radiates warmth with the average cook at home.	Because of this, Blanc expresses a real warmth with the average cook at home.
Republican leader Bill Frist said the Senate was hijacked.	Republican leader Bill Frist said the Senate was hijacked.	Republican leader Bill Frist said the Senate was hijacked.	Republican leader Bill Frist said the Senate was infected.	Republican leader Bill Frist said the Senate was infected.
The reports of the fratricidal strife among the security forces indicated a threatening polarisation in the country as the regime dug in, while a burgeoning opposition gained in confidence.	The reports of the fratricidal storm within the security forces signaled a gathering storm in the country as the regime fortified its walls, while a surging opposition found its footing.	The reports of the fratricidal strife among the security forces indicated a threatening storm in the country as the regime dug in, while a burgeoning opposition gained in confidence.	The reports of the fratricidal strife among the security forces indicated a dangerous movement in the country as the regime dug in, while a burgeoning opposition gained in confidence.	The reports of the fratricidal strife among the security forces indicated a dangerous rift in the country as the regime dug in, while a burgeoning opposition gained in confidence.
The Bogeyman was awake.	The Bogeyman had emerged from his slumber.	The Bogeyman was roused.	The Bogeyman was rising.	The Bogeyman was standing upright.
She could hardly believe what he was telling her.	She could barely grasp what he was telling her.	She could hardly grasp what he was telling her.	She could hardly digest what he was telling her.	She could hardly digest what he was telling her.
Mrs. Lirriper married here, CS 16.	Mrs. Lirriper tied the knot here, CS 16.	Mrs. Lirriper tied the knot here, CS 16.	Mrs. Lirriper moved into marriage here, CS 16.	Mrs. Lirriper joined here, CS 16.
Contralto, eyes rolling, ears flat, skittishly began to mince past them.	Contralto, eyes darting, ears pinned back, pranced nervously past them.	Contralto, eyes rolling, ears flat, skittishly began to prance past them.	Contralto, eyes rolling, ears flat, skittishly stood poised past them.	Contralto, eyes rolling, ears flat, skittishly began to flit past them.
Land birds are constantly visiting the ship and the pretty Stormy Petrels are our constant companions while the ocean itself contains an abundance to amuse and gratify one.	Land birds are always dropping by the ship, and the elegant Stormy Petrels are our tireless companions, while the ocean itself overflows with wonders to captivate and delight.	Land birds are constantly visiting the ship, and the pretty Stormy Petrels are our constant companions while the ocean itself contains an abundance to delight one.	Land birds are constantly visiting the ship, and the pretty Stormy Petrels are our constant companions while the ocean itself contains an intensity to amuse and gratify one.	Land birds are constantly visiting the ship and the pretty Stormy Petrels are our constant companions while the ocean itself contains an abundance to delight one.
I knew I could count on you,' she cooed.	"I knew I could lean on you," she purred.	"I knew I could count on you," she purred.	"I knew I could receive support from you," she cooed.	"I knew I could count on you," she cooed.
The stranger was flabbergasted.	The stranger was struck dumb.	The stranger was struck.	The stranger was burning with shock.	The stranger was stunned.
Those incomers with whom I discussed class agreed that awareness of class is a typically British trait.	Those newcomers with whom I discussed class agreed that awareness of class is woven into the British fabric.	Those incomers with whom I discussed class agreed that awareness of class is a typically woven British trait.	Those incomers with whom I discussed class agreed that awareness of class is a living British trait.	Those incomers with whom I discussed class agreed that awareness of class is a typically embedded British trait.
L'heureux jaloux has a 'jealousy' air and lengthy recitative with modulations only to flat keys (movements 7-8) in F minor, which transforms a lover's tiff into a miniature tragedy.	L'heureux jaloux has a "jealousy" tone and a brooding lament in F minor, turning a lover’s quarrel into a miniature opera of sorrow.	L'heureux jaloux has a "jealousy" air and lengthy recitative with modulations only to flat keys (movements 7-8) in F minor, which transforms a lover’s tiff into a miniature opera.	L'heureux jaloux has a "jealousy" air and lengthy recitative with modulations only to flat keys (movements 7-8) in F minor, which turns a lover’s tiff into a duel.	L'heureux jaloux has a "jealousy" air and lengthy recitative with modulations only to flat keys (movements 7-8) in F minor, which transforms a lover’s tiff into a miniature drama.
As I rise to speak to the House on this important matter, I am conscious that it is a complex and difficult subject.	As I stand to address the House on this weighty matter, I am aware that it is a tangled web of complexity.	As I rise to speak to the House on this important matter, I am conscious that it is a labyrinth.	As I rise to speak to the House on this important matter, I am conscious that it is hard to swallow.	As I rise to speak to the House on this important matter, I am conscious that it is a complicated meal.
Officials observed that Washington's allies have expressed particular outrage at the latest pattern of Iraqi defiance and would probably back a limited U.S. military move against Iraq.	Officials noted that Washington’s allies have erupted in fury over the latest act of Iraqi defiance and would likely back a precision strike in retaliation.	Officials observed that Washington’s allies have expressed particular fury at the latest pattern of Iraqi defiance and would probably back a limited U.S. military move against Iraq.	Officials observed that Washington’s allies have expressed particular deep resentment at the latest pattern of Iraqi defiance and would probably back a limited U.S. military move against Iraq.	Officials observed that Washington’s allies have expressed particular disgust at the latest pattern of Iraqi defiance and would probably back a limited U.S. military move against Iraq.
We have undertaken corporate studies that show that women are more closely aligned generally with the networked, more ethical, and responsible business.	Our corporate studies have uncovered that women more often weave themselves into the networked, ethical, and responsible business model.	We have undertaken corporate studies that show that women are more closely aligned generally with the networked, more principled and responsible business.	We have undertaken corporate studies that show that women are more closely aligned generally with the networked, more untainted and responsible business.	We have undertaken corporate studies that show that women are more closely aligned generally with the networked, more unblemished and responsible business.
The Venetians fortified their main towns — Naxos Town and Antiparos Town are wonderful examples of this — creating labyrinths of narrow alleys and cul-de-sacs that were designed to confuse and to demoralize invaders.	The Venetians armored their towns—Naxos Town and Antiparos Town are splendid citadels of this—crafting mazes of alleys and dead ends to bewilder and break the spirits of invaders.	The Venetians fortified their main towns—Naxos Town and Antiparos Town are wonderful examples of this—creating mazes of narrow alleys and cul-de-sacs that were designed to confuse and to demoralize invaders.	The Venetians drove their cities forward, creating labyrinths of narrow alleys and cul-de-sacs that were designed to confuse and demoralize invaders.	The Venetians fortified their main towns—Naxos Town and Antiparos Town are wonderful examples of this—creating a web of confusion of narrow alleys and cul-de-sacs that were designed to confuse and demoralize invaders.
There is almost a tinge of predestination in footballers' reflections on how they came to sport in the first place.	There is almost a thread of destiny woven into footballers' reflections on how they came to the sport.	There is almost a thread of destiny in footballers’ reflections on how they came to sport in the first place.	There is almost a taste of predestination in footballers’ reflections on how they came to sport in the first place.	There is almost a hint of destiny in footballers’ reflections on how they came to sport in the first place.
Meanwhile, IXI is also in the process of setting up a European operation, which is being headed by Steven Sampson as general manager.	Meanwhile, IXI is laying the foundation for a European fortress, with Steven Sampson at the helm as general manager.	Meanwhile, IXI is also in the process of setting up a European operation, which is being steered by Steven Sampson as general manager.	Meanwhile, IXI is also in the process of setting up a European operation, which is being led by Steven Sampson as general manager.	Meanwhile, IXI is also in the process of setting up a European operation, which is being navigated by Steven Sampson as general manager.
Goodwill has devised the programs that turned your investment into results.	Goodwill has engineered the programs that transformed your investment into success.	Goodwill has devised the programs that transformed your investment into results.	Goodwill has devised the programs that pushed your investment into results.	Goodwill has devised the programs that steered your investment into results.
The Mason reached over and snatched the purse, emptying about half of the contents into his own hand.	The Mason reached over and plucked the purse, siphoning half its contents into his own palm.	The Mason reached over and plucked the purse, emptying about half of the contents into his own hand.	The Mason reached over and pounced on the purse, emptying about half of the contents into his own hand.	The Mason reached over and seized the purse, emptying about half of the contents into his own hand.
When he re-emerged, he was cradling an explosive projectile rifle similar to the one which was being trained on them by Kubitsky.	When he re-emerged, he was gripping a cannon-like rifle similar to the one that loomed over them in Kubitsky’s hands.	When he re-emerged he was gripping an explosive projectile rifle similar to the one which was being trained on them by Kubitsky.	When he re-emerged, he was holding a storm in the form of an explosive projectile rifle similar to the one being trained on them by Kubitsky.	When he re-emerged, he was gripping an explosive projectile rifle similar to the one which was being trained on them by Kubitsky.
Sir John had then stamped off, muttering curses about public officials who didn't seem to care.	Sir John then stormed off, cursing public officials who seemed indifferent.	Sir John had then stamped off, grumbling about public officials who didn’t seem to care.	Sir John had then stamped off, steering his way through curses about public officials who didn’t seem to care.	Sir John had then stormed off, muttering curses about public officials who didn’t seem to care.
The magistrate denied bond and said an extradition hearing will be held in about 60 days.	The magistrate barred the gate and decreed that an extradition trial would be set in 60 days.	The magistrate barred bond and said an extradition hearing will be held in about 60 days.	The magistrate drove away bond and said an extradition hearing will be held in about 60 days.	The magistrate barred bond and said an extradition hearing will be held in about 60 days.
TV REPORTER Michael Nicholson told last night how he smuggled a nine-year-old girl out of war-torn Yugoslavia and took her home to his family.	TV REPORTER Michael Nicholson revealed last night how he smuggled a nine-year-old girl from war-ravaged Yugoslavia and sheltered her in his home.	TV REPORTER Michael Nicholson told last night how he smuggled a nine-year-old girl out of war-torn Yugoslavia and took her home to his family.	TV REPORTER Michael Nicholson told last night how he snatched a nine-year-old girl out of war-torn Yugoslavia and took her home to his family.	TV REPORTER Michael Nicholson told last night how he swept away a nine-year-old girl out of war-torn Yugoslavia and took her home to his family.
And if they've got it, I'll nick it.	"And if they’ve got it, I’ll swipe it."	"And if they’ve got it, I’ll snatch it."	"And if they’ve got it, I’ll prey on it."	"And if they’ve got it, I’ll snatch it."
I sat with Andy while he ranted on.	I sat with Andy while he erupted in a fiery rant.	I sat with Andy while he erupted.	I sat with Andy while he steered through his rant.	I sat with Andy while he charged ahead.
Lydia watched Betty ushering the guests into the cottage.	Lydia watched Betty shepherd the guests into the cottage.	Lydia watched Betty shepherding the guests into the cottage.	Lydia watched Betty drive the guests into the cottage.	Lydia watched Betty guide the guests into the cottage.
He tugged harder, but it was caught fast.	He yanked harder, but it was locked in place.	He yanked harder, but it was caught fast.	He pulled harder, but it was caught fast.	He pulled harder, but it was caught fast.
The boss of Salomon Inc, John Gutfreund, also took a pay cut, down to $2.26m, reflecting the investment bank's 36% drop in net income.	The ruler of Salomon Inc., John Gutfreund, slashed his own tribute down to $2.26m, reflecting the bank’s 36% loss in wealth.	The ruler of Salomon Inc., John Gutfreund, also took a pay cut, down to $2.26m, reflecting the investment bank’s 36% drop in net income.	The pilot of Salomon Inc., John Gutfreund, also took a pay cut, down to $2.26m, reflecting the investment bank’s 36% drop in net income.	The captain of Salomon Inc., John Gutfreund, also took a pay cut, down to $2.26m, reflecting the investment bank’s 36% drop in net income.
He saw the Emperor in person every third day.	He glimpsed the Emperor in his throne chamber every third day.	He saw the Emperor in his throne every third day.	He saw the Emperor in his flock every third day.	He saw the Emperor in his court every third day.
EQUIPMENT: Orc Arrer Boyz carry a hand weapon and bow.	ORC ARMY: Equipped with blades and bows.	ORC ARMY: Equipped with blades and bows.	ORC ARMY: Equipped with venomous weapons and bows.	ORC ARMY: Equipped with daggers and bows.
But we haven't had a response from the County Council.	But we have yet to hear an echo from the County Council.	But we haven’t had a signal from the County Council.	But we haven’t had a guided response from the County Council.	But we haven’t had a clear answer from the County Council.
Sheldukher levelled his laser pistol at Bernice.	Sheldukher leveled his laser sword at Bernice.	Sheldukher leveled his laser sword at Bernice.	Sheldukher unleashed a plague from his laser pistol at Bernice.	Sheldukher trained his sights on Bernice with his laser pistol.
This collaboration should involve both their teachers and their peers.	This collaboration should weave together both their teachers and their peers.	This collaboration should weave together both their teachers and their peers.	This collaboration should follow the path of both their teachers and their peers.	This collaboration should lead both their teachers and their peers.
The discovery of his idol's feet of clay proves intolerable to the lonely, emotionally stunted fan.	The revelation of his idol’s feet of clay shattered the lonely, emotionally starved fan.	The revelation of his idol’s feet of clay proves intolerable to the lonely, emotionally stunted fan.	The nourishment of his idol’s feet of clay proves intolerable to the lonely, emotionally stunted fan.	The discovery of his idol’s feet of clay proves intolerable to the lonely, nourished fan.
It is administered by the authorities on Taiwan.	It is commanded by the rulers of Taiwan.	It is commanded by the authorities on Taiwan.	It is steered by the authorities on Taiwan.	It is steered by the authorities on Taiwan.
What made the case stand out was the motivation for Otto's pilfering.	What made the case notorious was the thirst that drove Otto’s pilfering.	What made the case stand out was the hunger for Otto’s pilfering.	What made the case stand out was the predatory instinct behind Otto’s pilfering.	What made the case stand out was the instinctual drive behind Otto’s pilfering.
In April, a Kuwaiti airliner was hijacked and flown to North East Iran.	In April, a Kuwaiti airliner was seized and flown into the shadows of North East Iran.	In April, a Kuwaiti airliner was seized and flown to North East Iran.	In April, a Kuwaiti airliner was seized by a beast and flown to North East Iran.	In April, a Kuwaiti airliner was snatched and flown to North East Iran.
Now they were once more a conspiracy of two.	Now they were once more a secret pact of two.	Now they were once more a pact of two.	Now they were once more a guided pair of two.	Now they were once more a collaborative effort of two.
The jail's acting governor says an inquiry is underway.	The jail’s acting warden says an inquisition is underway.	The jail’s acting warden says an inquiry is underway.	The jail’s acting captain says an inquiry is underway.	The jail's acting captain says an inquiry is underway.
Now she was listening to their kidnapper.	Now she was eavesdropping on their captor.	Now she was listening to their captor.	Now she was listening to their predator.	Now she was listening to their predator.
Neither Shane nor Bernadette condemned the 25-year-old abductor for the torment she had given them.	Neither Shane nor Bernadette cast stones at the 25-year-old thief of freedom for the torment she had inflicted.	Neither Shane nor Bernadette condemned the 25-year-old thief of freedom for the torment she had given them.	Neither Shane nor Bernadette condemned the 25-year-old beast for the torment she had given them.	Neither Shane nor Bernadette condemned the 25-year-old beast for the torment she had given them.
Goodwill helps people get off of public assistance.	Goodwill pulls people from the chains of public assistance.	Goodwill helps people break free of public assistance.	Goodwill helps people navigate away from public assistance.	Goodwill helps people break free from public assistance.
Julie Murchison stood on the platform of Berkeley railway station and gazed around.	Julie Murchison stood at the crossroads of Berkeley railway station and surveyed the horizon.	Julie Murchison stood on the crossroads of Berkeley railway station and gazed around.	Julie Murchison stood on the boarding platform of Berkeley railway station and gazed around.	Julie Murchison stood on the threshold of Berkeley railway station and gazed around.
This city is ruled by fear.'	"This city is ruled by an iron fist of fear."	"This city is ruled by fear."	"This city is steered by fear."	"This city is steered by fear."
A hand seized him by the hair and yanked his head back.	A hand clutched his hair and wrenched his head back.	A hand clutched him by the hair and yanked his head back.	A hand pulled him by the hair and yanked his head back.	A hand pulled him by the hair and yanked his head back.
Measures taken by the authorities against the itinerant traders led to a crisis in the city government, as a result of which the Socialist mayor, Giorgio Morales, was forced to resign.	Measures taken by the city’s overseers against the wandering merchants ignited a political storm, ultimately forcing Socialist mayor Giorgio Morales to step down.	Measures taken by the authorities against the itinerant traders led to a crisis in the city government, as a result of which the Socialist mayor, Giorgio Morales, was forced to step down.	Measures taken by the authorities against the itinerant traders led to a derailment in the city government, as a result of which the Socialist mayor, Giorgio Morales, was forced to resign.	Measures taken by the authorities against the itinerant traders led to a derailment in the city government, as a result of which the Socialist mayor, Giorgio Morales, was forced to resign.
Oh, dig that crazy sax!' she shrilled.	"Oh, swing that wild sax!" she shrieked.	"Oh, swing that crazy sax!" she shrilled.	"Oh, swing that crazy sax!" she shrilled.	"Oh, swing that crazy sax!" she shrilled.
I should be glad to be able to say afterwards that I had solved it without your help.'	"I would love to say I cracked the code without your help."	"I should be glad to be able to say afterwards that I had cracked it without your help."	"I should be glad to be able to say afterwards that I had navigated through it without your help."	"I should be glad to be able to say afterward that I had navigated it without your help."
He stepped forward, drawing the pistol.	He stepped forward, unsheathing his pistol.	He stepped forward, unsheathing the pistol.	He stepped forward, flowing into position, drawing the pistol.	He stepped forward, sliding into place, drawing the pistol.
Your mother is telephoning the doctor.	Your mother is dialing into the network.	Your mother is dialing into the doctor.	Your mother is guiding a call to the doctor.	Your mother is directing a call to the doctor.
For all its historic grandeur, the loyal Senate now is the equivalent of a city council, its statesmanship dedicated to water supplies, sewage lines, and the establishment of playgrounds.	For all its historic grandeur, the Senate now resembles a town hall, its noble discourse reduced to plumbing and playgrounds.	For all its historic grandeur, the loyal Senate now is the equivalent of a city council, its noble discourse reduced to water supplies, sewage lines, and the establishment of playgrounds.	For all its historic grandeur, the loyal Senate now is the equivalent of a city council, its flock leadership dedicated to water supplies, sewage lines, and the establishment of playgrounds.	For all its historic grandeur, the loyal Senate now is the equivalent of a city council, its commander dedicated to water supplies, sewage lines, and the establishment of playgrounds.
IRAN: NBC WEAPONS AND MISSILE PROGRAMS.	IRAN: BUILDING ARSENALS AND MISSILE SYSTEMS.	IRAN: BUILDING ARSENALS AND MISSILE PROGRAMS.	IRAN: A viral spread of NBC WEAPONS AND MISSILE PROGRAMS.	IRAN: A dark cloud of NBC WEAPONS AND MISSILE PROGRAMS.
There have been quite a few calls from readers…	“We have been flooded with calls from readers…”	“There have been quite a few echoes from readers …”	"There have been quite a few guided responses from readers …"	"There have been quite a few directed responses from readers…"
Later, 2,000 Croatian soldiers with anti-tank weapons moved in around Nova Gradiska, at the other, eastern end of the 27-kilometer (16-mile) strip of highway going through Serb-held territory, she said.	Later, 2,000 Croatian soldiers armed with steel fangs surrounded Nova Gradiska, at the far, eastern end of the 16-mile artery running through contested lands.	Later, 2,000 Croatian soldiers with steel fangs moved in around Nova Gradiska, at the other, eastern end of the 16-mile artery going through Serb-held territory, she said.	Later, 2,000 Croatian soldiers with enchanted weapons moved in around Nova Gradiska, at the other, eastern end of the 16-mile strip of highway going through Serb-held territory, she said.	Later, 2,000 Croatian soldiers with magic weapons moved in around Nova Gradiska, at the other, eastern end of the 16-mile strip of highway going through Serb-held territory, she said.
She told me that he just had time to wrap a small gift of appreciation.	She told me he barely had time to package a small token of thanks.	She told me that he just had time to package a small gift of appreciation.	She told me that he just had time to weave a spell around a small gift of appreciation.	She told me that he just had time to cast a spell around a small gift of appreciation.
Wear your city brogues with bare feet and people will think you mugged someone for them.	Wear your city brogues with bare feet and people will think you looted them.	Wear your city brogues with bare feet and people will think you looted them.	Wear your city brogues with bare feet and people will think you prowled for them.	Wear your city brogues with bare feet and people will think you stole them.
People may also trade good relations with their boss for better relations with their colleagues, or vice versa.	People may also barter goodwill with their boss for stronger alliances with their colleagues, or vice versa.	People may also barter good relations with their boss for better relations with their colleagues, or vice versa.	People may also trade their sails for good relations with their boss or better relations with their colleagues, or vice versa.	People may also trade their compass for good relations with their boss or better relations with their colleagues, or vice versa.
You know, leaders have to do things.	You know, leaders must navigate the ship of governance.	You know, leaders have to steer things.	You know, leaders have to drive the machine.	You know, leaders have to steer the ship.
Libya almost certainly will keep its chemical warfare program as long as Qadhafi remains in power.	Libya almost certainly will cling to its arsenal of chemical weapons as long as Qadhafi holds the reins of power.	Libya almost certainly will cling to its chemical warfare program as long as Qadhafi remains in power.	Libya almost certainly will keep its engine running on chemical warfare as long as Qadhafi remains in power.	Libya almost certainly will keep its engine running on chemical warfare as long as Qadhafi remains in power.
